week_end,pruid,prename,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_additional
2021-02-13,60,Yukon,10524,9657,867,
2021-02-13,61,Northwest Territories,13575,12996,579,
2021-02-13,62,Nunavut,6496,4362,2134,
2021-02-20,1,Canada,1086501,651234,435267,
2021-02-20,10,Newfoundland and Labrador,10436,4324,6112,
2021-02-20,11,Prince Edward Island,6450,1294,5156,
2021-02-20,12,Nova Scotia,14915,6690,8225,
2021-02-20,13,New Brunswick,15261,4234,11027,
2021-02-20,24,Quebec,345979,345979,,
2021-02-20,35,Ontario,319915,84862,235053,
2021-02-20,46,Manitoba,36279,11082,25197,
2021-02-20,47,Saskatchewan,37764,21804,15960,
2021-02-20,48,Alberta,103236,37048,66188,
2021-02-20,59,British Columbia,164163,108945,55218,
2021-02-20,60,Yukon,10613,9523,1090,
2021-02-20,61,Northwest Territories,14517,12583,1934,
2021-02-20,62,Nunavut,6973,2866,4107,
2021-02-27,1,Canada,1381403,843004,538399,
2021-02-27,10,Newfoundland and Labrador,16623,8411,8212,
2021-02-27,11,Prince Edward Island,7363,2151,5212,
2021-02-27,12,Nova Scotia,19734,7116,12618,
2021-02-27,13,New Brunswick,21676,9544,12132,
2021-02-27,24,Quebec,431743,431743,,
2021-02-27,35,Ontario,425162,163239,261923,
2021-02-27,46,Manitoba,46651,17675,28976,
2021-02-27,47,Saskatchewan,46285,22829,23456,
2021-02-27,48,Alberta,139961,52554,87407,
2021-02-27,59,British Columbia,192637,108615,84022,
2021-02-27,60,Yukon,10958,6156,4802,
2021-02-27,61,Northwest Territories,15214,10656,4558,
2021-02-27,62,Nunavut,7396,2315,5081,
2021-03-06,1,Canada,1854791,1281130,573661,
2021-03-06,10,Newfoundland and Labrador,21087,11951,9136,
2021-03-06,11,Prince Edward Island,8666,3159,5507,
2021-03-06,12,Nova Scotia,25011,10578,14433,
2021-03-06,13,New Brunswick,26308,14166,12142,
2021-03-06,24,Quebec,548031,548031,,
2021-03-06,35,Ontario,619315,347483,271832,
2021-03-06,46,Manitoba,59400,29038,30362,
2021-03-06,47,Saskatchewan,56493,29121,27372,
2021-03-06,48,Alberta,202240,111622,90618,
2021-03-06,59,British Columbia,247428,160369,87059,
2021-03-06,60,Yukon,14565,5972,8593,
2021-03-06,61,Northwest Territories,17053,5904,11149,
2021-03-06,62,Nunavut,9194,3736,5458,
2021-03-13,1,Canada,2500024,1902260,597764,
2021-03-13,10,Newfoundland and Labrador,27418,18176,9242,
2021-03-13,11,Prince Edward Island,10386,4790,5596,
2021-03-13,12,Nova Scotia,31964,15851,16113,
2021-03-13,13,New Brunswick,39168,27013,12155,
2021-03-13,24,Quebec,714029,714029,,
2021-03-13,35,Ontario,874937,589270,285667,
2021-03-13,46,Manitoba,72282,39151,33131,
2021-03-13,47,Saskatchewan,69628,41272,28356,
2021-03-13,48,Alberta,288021,196484,91537,
2021-03-13,59,British Columbia,323058,235878,87180,
2021-03-13,60,Yukon,19177,8815,10362,
2021-03-13,61,Northwest Territories,19680,7293,12387,
2021-03-13,62,Nunavut,10276,4238,6038,
2021-03-20,1,Canada,3402773,2772389,630384,
2021-03-20,10,Newfoundland and Labrador,38915,29354,9561,
2021-03-20,11,Prince Edward Island,12995,7380,5615,
2021-03-20,12,Nova Scotia,40820,20720,20100,
2021-03-20,13,New Brunswick,49610,37446,12164,
2021-03-20,24,Quebec,945382,945382,,
2021-03-20,35,Ontario,1225457,927042,298415,
2021-03-20,46,Manitoba,90578,47170,43408,
2021-03-20,47,Saskatchewan,101100,70505,30595,
2021-03-20,48,Alberta,388455,295430,93025,
2021-03-20,59,British Columbia,453352,366072,87280,
2021-03-20,60,Yukon,22144,11669,10475,
2021-03-20,61,Northwest Territories,22107,8826,13281,
2021-03-20,62,Nunavut,11858,5393,6465,
2021-03-27,1,Canada,4533036,3864994,668042,
2021-03-27,10,Newfoundland and Labrador,51244,41597,9647,
2021-03-27,11,Prince Edward Island,15289,8890,6399,
2021-03-27,12,Nova Scotia,64681,40387,24294,
2021-03-27,13,New Brunswick,80178,67983,12195,
2021-03-27,24,Quebec,1218798,1218798,,
2021-03-27,35,Ontario,1672351,1363194,309157,
2021-03-27,46,Manitoba,117810,62870,54940,
2021-03-27,47,Saskatchewan,134559,98267,36292,
2021-03-27,48,Alberta,504407,408276,96131,
2021-03-27,59,British Columbia,613835,526396,87439,
2021-03-27,60,Yukon,23028,12268,10760,
2021-03-27,61,Northwest Territories,23715,9784,13931,
2021-03-27,62,Nunavut,13141,6284,6857,
2021-04-03,1,Canada,5788394,5072294,716100,
2021-04-03,10,Newfoundland and Labrador,78734,69071,9663,
2021-04-03,11,Prince Edward Island,19810,12203,7607,
2021-04-03,12,Nova Scotia,83796,54265,29531,
2021-04-03,13,New Brunswick,110912,98634,12278,
2021-04-03,24,Quebec,1524363,1524363,,
2021-04-03,35,Ontario,2171573,1849755,321818,
2021-04-03,46,Manitoba,147826,86315,61511,
2021-04-03,47,Saskatchewan,182416,143258,39158,
2021-04-03,48,Alberta,600594,488608,111986,
2021-04-03,59,British Columbia,807444,719837,87607,
2021-04-03,60,Yukon,23414,11278,12136,
2021-04-03,61,Northwest Territories,24097,9628,14469,
2021-04-03,62,Nunavut,13415,5079,8336,
2021-04-10,1,Canada,7339540,6520540,819000,
2021-04-10,10,Newfoundland and Labrador,100594,90920,9674,
2021-04-10,11,Prince Edward Island,26305,17549,8756,
2021-04-10,12,Nova Scotia,116818,85699,31119,
2021-04-10,13,New Brunswick,135799,120022,15777,
2021-04-10,24,Quebec,1873379,1857562,15817,
2021-04-10,35,Ontario,2808322,2475356,332966,
2021-04-10,46,Manitoba,215922,147407,68515,
2021-04-10,47,Saskatchewan,249539,208047,41492,
2021-04-10,48,Alberta,728292,563935,164357,
2021-04-10,59,British Columbia,1022228,934409,87819,
2021-04-10,60,Yukon,23872,7096,16776,
2021-04-10,61,Northwest Territories,24740,8271,16469,
2021-04-10,62,Nunavut,13730,4267,9463,
2021-04-17,1,Canada,9195114,8265016,930098,
2021-04-17,10,Newfoundland and Labrador,122808,113134,9674,
2021-04-17,11,Prince Edward Island,33368,23801,9567,
2021-04-17,12,Nova Scotia,173886,141404,32482,
2021-04-17,13,New Brunswick,182669,163822,18847,
2021-04-17,24,Quebec,2325260,2295027,30233,
2021-04-17,35,Ontario,3493866,3148080,345786,
2021-04-17,46,Manitoba,267700,197933,69767,
2021-04-17,47,Saskatchewan,309369,266491,42878,
2021-04-17,48,Alberta,932880,700554,232326,
2021-04-17,59,British Columbia,1289370,1201132,88238,
2021-04-17,60,Yukon,24317,4218,20099,
2021-04-17,61,Northwest Territories,25369,6100,19269,
2021-04-17,62,Nunavut,14252,3320,10932,
2021-04-24,1,Canada,11132592,10112143,1020449,
2021-04-24,10,Newfoundland and Labrador,147423,137727,9696,
2021-04-24,11,Prince Edward Island,39530,29251,10279,
2021-04-24,12,Nova Scotia,238566,203751,34815,
2021-04-24,13,New Brunswick,219257,195088,24169,
2021-04-24,24,Quebec,2773207,2721477,51730,
2021-04-24,35,Ontario,4268812,3908475,360337,
2021-04-24,46,Manitoba,349534,278119,71415,
2021-04-24,47,Saskatchewan,360002,316451,43551,
2021-04-24,48,Alberta,1127370,856730,270640,
2021-04-24,59,British Columbia,1543065,1453896,89169,
2021-04-24,60,Yukon,24817,3290,21527,
2021-04-24,61,Northwest Territories,25851,4910,20941,
2021-04-24,62,Nunavut,15158,2978,12180,
2021-05-01,1,Canada,12779536,11655857,1123679,
2021-05-01,10,Newfoundland and Labrador,171285,161620,9665,
2021-05-01,11,Prince Edward Island,45383,34745,10638,
2021-05-01,12,Nova Scotia,283812,247213,36599,
2021-05-01,13,New Brunswick,243986,216762,27224,
2021-05-01,24,Quebec,3109455,3005084,104371,
2021-05-01,35,Ontario,4951946,4576638,375308,
2021-05-01,46,Manitoba,412267,339058,73209,
2021-05-01,47,Saskatchewan,406783,362269,44514,
2021-05-01,48,Alberta,1305432,1011710,293722,
2021-05-01,59,British Columbia,1781618,1689723,91895,
2021-05-01,60,Yukon,25192,2858,22334,
2021-05-01,61,Northwest Territories,26327,4655,21672,
2021-05-01,62,Nunavut,16050,3522,12528,
2021-05-08,1,Canada,14772158,13519160,1252998,
2021-05-08,10,Newfoundland and Labrador,193584,183911,9673,
2021-05-08,11,Prince Edward Island,52598,41662,10936,
2021-05-08,12,Nova Scotia,326139,288440,37699,
2021-05-08,13,New Brunswick,277729,247489,30240,
2021-05-08,24,Quebec,3538616,3363699,174917,
2021-05-08,35,Ontario,5754150,5361156,392994,
2021-05-08,46,Manitoba,473652,397891,75761,
2021-05-08,47,Saskatchewan,481722,435342,46380,
2021-05-08,48,Alberta,1556400,1246471,309929,
2021-05-08,59,British Columbia,2048120,1941844,106276,
2021-05-08,60,Yukon,25731,2914,22817,
2021-05-08,61,Northwest Territories,27303,4804,22499,
2021-05-08,62,Nunavut,16414,3537,12877,
2021-05-15,1,Canada,17140068,15621663,1518405,
2021-05-15,10,Newfoundland and Labrador,225770,215889,9881,
2021-05-15,11,Prince Edward Island,62125,50371,11754,
2021-05-15,12,Nova Scotia,388511,349306,39205,
2021-05-15,13,New Brunswick,323355,289961,33394,
2021-05-15,24,Quebec,4073238,3718773,354465,
2021-05-15,35,Ontario,6638361,6208493,429868,
2021-05-15,46,Manitoba,560533,479650,80883,
2021-05-15,47,Saskatchewan,554200,505443,48757,
2021-05-15,48,Alberta,1850072,1529798,320274,
2021-05-15,59,British Columbia,2392600,2262170,130430,
2021-05-15,60,Yukon,26242,3006,23236,
2021-05-15,61,Northwest Territories,28353,5397,22956,
2021-05-15,62,Nunavut,16708,3406,13302,
2021-05-22,1,Canada,19232248,17477501,1754747,
2021-05-22,10,Newfoundland and Labrador,260190,249731,10459,
2021-05-22,11,Prince Edward Island,71327,59028,12299,
2021-05-22,12,Nova Scotia,460948,419495,41453,
2021-05-22,13,New Brunswick,386865,350003,36862,
2021-05-22,24,Quebec,4602185,4155234,446951,
2021-05-22,35,Ontario,7537294,7005191,532103,
2021-05-22,46,Manitoba,643349,556554,86795,
2021-05-22,47,Saskatchewan,604637,546507,58130,
2021-05-22,48,Alberta,1854382,1533466,320916,
2021-05-22,59,British Columbia,2738510,2590890,147620,
2021-05-22,60,Yukon,26648,2934,23714,
2021-05-22,61,Northwest Territories,28883,5547,23336,
2021-05-22,62,Nunavut,17030,2921,14109,
2021-05-29,1,Canada,21579682,19410408,2169274,
2021-05-29,10,Newfoundland and Labrador,290038,278592,11446,
2021-05-29,11,Prince Edward Island,79800,66370,13430,
2021-05-29,12,Nova Scotia,537868,494407,43461,
2021-05-29,13,New Brunswick,432047,391203,40844,
2021-05-29,24,Quebec,5077136,4518964,558172,
2021-05-29,35,Ontario,8298869,7609233,689636,
2021-05-29,46,Manitoba,728662,623026,105636,
2021-05-29,47,Saskatchewan,642300,559140,83160,
2021-05-29,48,Alberta,2357833,1977913,379920,
2021-05-29,59,British Columbia,3061385,2880801,180584,
2021-05-29,60,Yukon,26952,2815,24137,
2021-05-29,61,Northwest Territories,29562,5657,23905,
2021-05-29,62,Nunavut,17230,2287,14943,
2021-06-05,1,Canada,23312102,19960812,3050407,
2021-06-05,10,Newfoundland and Labrador,318238,,17355,
2021-06-05,11,Prince Edward Island,89736,75339,14397,
2021-06-05,12,Nova Scotia,590905,546361,44544,
2021-06-05,13,New Brunswick,484410,437333,47077,
2021-06-05,24,Quebec,5529406,4815864,713542,
2021-06-05,35,Ontario,8963082,7929387,1033695,
2021-06-05,46,Manitoba,786098,639752,146346,
2021-06-05,47,Saskatchewan,660941,523922,137019,
2021-06-05,48,Alberta,2511236,1991366,519870,
2021-06-05,59,British Columbia,3307406,2991745,315661,
2021-06-05,60,Yukon,27199,2695,24504,
2021-06-05,61,Northwest Territories,25647,4295,21352,
2021-06-05,62,Nunavut,17798,2753,15045,
2021-06-12,1,Canada,24407293,19218674,4871199,
2021-06-12,10,Newfoundland and Labrador,343290,,25870,
2021-06-12,11,Prince Edward Island,99261,81974,17287,
2021-06-12,12,Nova Scotia,644668,593805,50863,
2021-06-12,13,New Brunswick,510093,433716,76377,
2021-06-12,24,Quebec,5809723,4749659,1060064,
2021-06-12,35,Ontario,9413440,7613665,1799775,
2021-06-12,46,Manitoba,825173,624304,200869,
2021-06-12,47,Saskatchewan,680783,470631,210152,
2021-06-12,48,Alberta,2589472,1836304,753168,
2021-06-12,59,British Columbia,3419622,2805751,613871,
2021-06-12,60,Yukon,27470,2484,24986,
2021-06-12,61,Northwest Territories,26067,3530,22537,
2021-06-12,62,Nunavut,18231,2851,15380,
2021-06-19,1,Canada,25036920,17388850,7330967,
2021-06-19,10,Newfoundland and Labrador,363831,,46728,
2021-06-19,11,Prince Edward Island,108898,88853,20045,
2021-06-19,12,Nova Scotia,687356,604630,82726,
2021-06-19,13,New Brunswick,521178,391451,129727,
2021-06-19,24,Quebec,5941900,4378224,1563676,
2021-06-19,35,Ontario,9677721,6800058,2877663,
2021-06-19,46,Manitoba,849464,564359,285105,
2021-06-19,47,Saskatchewan,697936,410900,287036,
2021-06-19,48,Alberta,2638391,1563338,1075053,
2021-06-19,59,British Columbia,3475832,2577295,898537,
2021-06-19,60,Yukon,28065,2419,25646,
2021-06-19,61,Northwest Territories,26530,3251,23279,
2021-06-19,62,Nunavut,19818,4072,15746,
2021-06-26,1,Canada,25454731,14833936,10321362,
2021-06-26,10,Newfoundland and Labrador,378807,,79374,
2021-06-26,11,Prince Edward Island,114335,86005,28330,
2021-06-26,12,Nova Scotia,698309,530068,168241,
2021-06-26,13,New Brunswick,531111,331334,199777,
2021-06-26,24,Quebec,5996061,3835569,2160492,
2021-06-26,35,Ontario,9864684,5695604,4169080,
2021-06-26,46,Manitoba,870030,434761,435269,
2021-06-26,47,Saskatchewan,709849,307211,402638,
2021-06-26,48,Alberta,2663494,1371422,1292072,
2021-06-26,59,British Columbia,3549916,2230265,1319651,
2021-06-26,60,Yukon,30298,3719,26579,
2021-06-26,61,Northwest Territories,26879,3122,23757,
2021-06-26,62,Nunavut,20958,4856,16102,
2021-07-03,1,Canada,25810950,11888323,13646770,
2021-07-03,10,Newfoundland and Labrador,384504,,108647,
2021-07-03,11,Prince Edward Island,117161,80151,37010,
2021-07-03,12,Nova Scotia,703055,426125,276930,
2021-07-03,13,New Brunswick,537762,263405,274357,
2021-07-03,24,Quebec,6047440,3244562,2802878,
2021-07-03,35,Ontario,10006851,4450276,5556575,
2021-07-03,46,Manitoba,894428,310956,583472,
2021-07-03,47,Saskatchewan,719115,229331,489784,
2021-07-03,48,Alberta,2717742,941417,1776325,
2021-07-03,59,British Columbia,3603679,1930844,1672835,
2021-07-03,60,Yukon,30670,3370,27300,
2021-07-03,61,Northwest Territories,27138,2948,24190,
2021-07-03,62,Nunavut,21405,4938,16467,
2021-07-10,1,Canada,26129583,9268523,16622731,
2021-07-10,10,Newfoundland and Labrador,392429,,154100,
2021-07-10,11,Prince Edward Island,119632,71373,48259,
2021-07-10,12,Nova Scotia,711307,317857,393450,
2021-07-10,13,New Brunswick,545780,198772,347008,
2021-07-10,24,Quebec,6095711,2634767,3460944,
2021-07-10,35,Ontario,10142704,3283639,6859065,
2021-07-10,46,Manitoba,914318,237861,676457,
2021-07-10,47,Saskatchewan,728838,170998,557840,
2021-07-10,48,Alberta,2747926,763206,1984720,
2021-07-10,59,British Columbia,3650613,1579638,2070975,
2021-07-10,60,Yukon,31062,2952,28110,
2021-07-10,61,Northwest Territories,27364,2761,24603,
2021-07-10,62,Nunavut,21899,4699,17200,
2021-07-17,1,Canada,26429361,7121243,19104915,
2021-07-17,10,Newfoundland and Labrador,397427,,194224,
2021-07-17,11,Prince Edward Island,121771,63132,58639,
2021-07-17,12,Nova Scotia,724947,239735,485212,
2021-07-17,13,New Brunswick,552408,151223,401185,
2021-07-17,24,Quebec,6147597,2114204,4033393,
2021-07-17,35,Ontario,10269103,2421176,7847927,
2021-07-17,46,Manitoba,929567,195231,734336,
2021-07-17,47,Saskatchewan,736230,140459,595771,
2021-07-17,48,Alberta,2779941,540094,2239847,
2021-07-17,59,British Columbia,3689083,1247164,2441919,
2021-07-17,60,Yukon,31306,2622,28684,
2021-07-17,61,Northwest Territories,27609,2536,25073,
2021-07-17,62,Nunavut,22372,3667,18705,
2021-07-24,1,Canada,26689703,5349513,21174844,
2021-07-24,10,Newfoundland and Labrador,399946,,234600,
2021-07-24,11,Prince Edward Island,123085,53507,69578,
2021-07-24,12,Nova Scotia,728671,172169,556502,
2021-07-24,13,New Brunswick,559527,114958,444569,
2021-07-24,24,Quebec,6199110,1603526,4595584,
2021-07-24,35,Ontario,10383281,1811180,8572101,
2021-07-24,46,Manitoba,943121,157256,785865,
2021-07-24,47,Saskatchewan,743338,117737,625601,
2021-07-24,48,Alberta,2803897,422693,2381204,
2021-07-24,59,British Columbia,3723811,888507,2835304,
2021-07-24,60,Yukon,31502,2333,29169,
2021-07-24,61,Northwest Territories,27803,2288,25515,
2021-07-24,62,Nunavut,22611,3359,19252,
2021-07-31,1,Canada,26927832,4169325,22623414,
2021-07-31,10,Newfoundland and Labrador,403456,,268363,
2021-07-31,11,Prince Edward Island,124384,44214,80170,
2021-07-31,12,Nova Scotia,736474,119095,617379,
2021-07-31,13,New Brunswick,565011,95516,469495,
2021-07-31,24,Quebec,6239807,1223575,5016232,
2021-07-31,35,Ontario,10485065,1447489,9037576,
2021-07-31,46,Manitoba,958899,109205,849694,
2021-07-31,47,Saskatchewan,749234,101293,647941,
2021-07-31,48,Alberta,2825516,359966,2465550,
2021-07-31,59,British Columbia,3757483,661552,3095931,
2021-07-31,60,Yukon,31730,2257,29473,
2021-07-31,61,Northwest Territories,27973,2087,25886,
2021-07-31,62,Nunavut,22800,3076,19724,
2021-08-07,1,Canada,27116673,3604109,23512564,
2021-08-07,10,Newfoundland and Labrador,407370,108925,298445,
2021-08-07,11,Prince Edward Island,125512,34792,90720,
2021-08-07,12,Nova Scotia,744097,94606,649491,
2021-08-07,13,New Brunswick,569169,86351,482818,
2021-08-07,24,Quebec,6284820,980304,5304516,
2021-08-07,35,Ontario,10553582,1232979,9320603,
2021-08-07,46,Manitoba,965803,97210,868593,
2021-08-07,47,Saskatchewan,753307,93111,660196,
2021-08-07,48,Alberta,2842134,330323,2511811,
2021-08-07,59,British Columbia,3787832,538479,3249353,
2021-08-07,60,Yukon,31939,2096,29843,
2021-08-07,61,Northwest Territories,28146,1979,26167,
2021-08-07,62,Nunavut,22962,2954,20008,
2021-08-14,1,Canada,27313314,3048823,24264491,
2021-08-14,10,Newfoundland and Labrador,411260,87230,324030,
2021-08-14,11,Prince Edward Island,126392,25800,100592,
2021-08-14,12,Nova Scotia,747651,85963,661688,
2021-08-14,13,New Brunswick,572862,78320,494542,
2021-08-14,24,Quebec,6343427,790256,5553171,
2021-08-14,35,Ontario,10624677,1059550,9565127,
2021-08-14,46,Manitoba,971605,85604,886001,
2021-08-14,47,Saskatchewan,757363,87394,669969,
2021-08-14,48,Alberta,2858602,309715,2548887,
2021-08-14,59,British Columbia,3815915,432363,3383552,
2021-08-14,60,Yukon,32051,1968,30083,
2021-08-14,61,Northwest Territories,28373,1801,26572,
2021-08-14,62,Nunavut,23136,2859,20277,
2021-08-21,1,Canada,27523579,2638889,24884690,
2021-08-21,10,Newfoundland and Labrador,413918,64949,348969,
2021-08-21,11,Prince Edward Island,127262,18352,108910,
2021-08-21,12,Nova Scotia,750104,76149,673955,
2021-08-21,13,New Brunswick,576960,73143,503817,
2021-08-21,24,Quebec,6400901,610794,5790107,
2021-08-21,35,Ontario,10712555,956187,9756368,
2021-08-21,46,Manitoba,976886,77028,899858,
2021-08-21,47,Saskatchewan,762464,83476,678988,
2021-08-21,48,Alberta,2876600,293995,2582605,
2021-08-21,59,British Columbia,3841612,378245,3463367,
2021-08-21,60,Yukon,32164,1851,30313,
2021-08-21,61,Northwest Territories,28788,1911,26877,
2021-08-21,62,Nunavut,23365,2809,20556,
2021-08-28,1,Canada,27763468,2377269,25386199,
2021-08-28,10,Newfoundland and Labrador,416570,53711,362859,
2021-08-28,11,Prince Edward Island,128068,14901,113167,
2021-08-28,12,Nova Scotia,755395,67797,687598,
2021-08-28,13,New Brunswick,581700,62007,519693,
2021-08-28,24,Quebec,6459251,498104,5961147,
2021-08-28,35,Ontario,10797333,883832,9913501,
2021-08-28,46,Manitoba,983935,69586,914349,
2021-08-28,47,Saskatchewan,768407,81184,687223,
2021-08-28,48,Alberta,2898859,282060,2616799,
2021-08-28,59,British Columbia,3888929,357606,3531323,
2021-08-28,60,Yukon,32311,1756,30555,
2021-08-28,61,Northwest Territories,29166,1980,27186,
2021-08-28,62,Nunavut,23544,2745,20799,
2021-09-04,1,Canada,28005087,2240830,25764257,
2021-09-04,10,Newfoundland and Labrador,418923,47553,371370,
2021-09-04,11,Prince Edward Island,128814,13086,115728,
2021-09-04,12,Nova Scotia,758774,63603,695171,
2021-09-04,13,New Brunswick,582066,61386,520680,
2021-09-04,24,Quebec,6522870,429779,6093091,
2021-09-04,35,Ontario,10886925,854139,10032786,
2021-09-04,46,Manitoba,995895,66072,929823,
2021-09-04,47,Saskatchewan,774851,79635,695216,
2021-09-04,48,Alberta,2925095,275296,2649799,
2021-09-04,59,British Columbia,3925357,343816,3581541,
2021-09-04,60,Yukon,32418,1695,30723,
2021-09-04,61,Northwest Territories,29390,2025,27365,
2021-09-04,62,Nunavut,23709,2745,20964,
2021-09-11,1,Canada,28259901,2146675,26113226,
2021-09-11,10,Newfoundland and Labrador,421222,45316,375906,
2021-09-11,11,Prince Edward Island,129467,11802,117665,
2021-09-11,12,Nova Scotia,764090,59646,704444,
2021-09-11,13,New Brunswick,590323,56319,534004,
2021-09-11,24,Quebec,6575570,381710,6193860,
2021-09-11,35,Ontario,10997962,825753,10172209,
2021-09-11,46,Manitoba,1004844,64842,940002,
2021-09-11,47,Saskatchewan,780504,78533,701971,
